pvalue,gene_name
0.672655983,UTF1
0.660880775,SMC2L1
0.21831629,SEC63L
0.137207913,SSSCA1
0.721000201,H2AFL
0.180978558,
0.396700196,PEX7
0.308338782,
0.946296311,
0.524717706,
0.073553828,
0.26184185,SLC12A4
0.341561909,MAPT
0.75352684,CAMP
0.341150145,TRPM1
0.72039999,GAPD
0.221672394,KIAA0240
0.009132291,LMCD1
0.017781214,NME7
0.7471979,
0.960472026,GAPCENA
0.168673433,UHRF1
0.536856019,WBP2
0.146009906,USP1
0.604587741,ZNF232
0.047581107,FLJ20644
0.722152078,SDC1
0.123997806,CYP2E
0.204254274,NFYA
0.708005918,
0.210192743,ALDH1A1
0.144296288,SNCAIP
0.77313339,NME3
0.512003735,DKFZP762I166
0.009232134,
0.649272365,BHMT
0.182132807,7h3
0.27375602,
0.805023605,
0.034911206,H2BFB
0.744893061,STAT1
0.969094448,
0.156142429,CRYGA
0.359500843,PFKM
0.40747806,KIAA0912
0.091789806,SCML2
0.210538912,BM046
0.528485878,HAT1
0.784053303,
0.091608144,MAP4K2
0.338061655,MAPK8IP2
0.747561554,
0.23048536,NCAM2
0.237137233,KRT19
0.082253644,ANKT
0.016662811,CISH
0.03399527,TNFSF12
0.344735232,MLC-B
0.113328049,PTK7
0.658965431,WHIP
0.457921942,MIP
0.073963138,SPP2
0.919207408,STIM2
0.01227723,FLJ12568
0.502047148,EPHB1
0.92032584,SPTBN2
0.672076306,C9orf9
0.217615408,SERPINB1
0.276914879,NUP153
0.709419623,KIAA0356
0.443337944,PKNOX2
0.138790089,KDR
0.388525877,FLJ12525
0.740802494,GSN
0.47042702,FLJ12716
0.327603948,DAPK1
0.092121369,FGL1
0.450090097,MGA
0.625735412,
0.028374669,KIAA0595
0.728957541,ACOX1
0.231347029,TMSB4Y
0.121402613,BET3
0.577610912,
0.526556945,FLJ12298
0.264791321,FLJ10357
0.257676413,BBS4
0.842779543,
0.006802786,TBX21
0.17025879,CRTAP
0.816963613,SLC20A1
0.271821594,
0.025843248,
0.940637849,
0.87715896,NDUFS1
0.798174254,
0.533537446,
0.117580928,LOC51760
0.339545727,
0.965427596,FLJ22386
0.112777434,KIAA0401
0.758829824,
0.155995956,TRIM2
0.203653567,
0.256126631,SLC28A3
0.311884209,HSRNASPH
0.149608645,E2F1
0.270536208,
0.151061865,FLJ22795
0.426779422,CUL4A
0.35010356,
0.729859847,MAPRE3
0.245555451,
0.087945768,LOC51581
0.313405975,SLC27A4
0.306919274,KIAA0377
0.117253997,CAT
0.584334306,ASKL1
0.872493464,HMGIY
0.102413992,ADAR
0.373811684,
0.488870965,INHA
0.31994328,KIAA0961
0.210763756,HPCA
0.220429049,TMEM5
0.849545615,HSRNAFEV
0.502585262,SLC23A2
0.799670422,
0.017682399,RANBP2
0.761572488,HR
0.748712969,
0.862105254,TLK2
0.430685374,
0.108223857,CD53
0.925823544,POU4F1
0.236952532,KIAA0561
0.370473606,
0.582533122,
0.070700139,PTPRB
0.815608496,SMARCF1
0.061974674,IMPA2
0.270478107,KIAA0565
0.496438452,CYP7B1
0.504360819,CA11
0.550046013,HSPC155
0.128044864,BRPF3
0.786782719,COL14A1
0.691870829,FLJ20094
0.413945103,
0.448595532,PYY
0.969591625,FLJ10852
0.159223389,HSPB2
0.321455808,ENC1
0.76899923,NGB
0.182095836,
0.238214307,PCDH7
0.515077559,FLJ10715
0.143907174,YWHAG
0.66327787,KIAA0963
0.928686677,SRM
0.767980806,EMS1
0.904548185,
0.40349879,FLJ11838
0.237640844,DKFZP434H204
0.774450845,ATP8B1
0.128514244,CYP1A1
0.556077628,ARHGEF2
0.356258548,TGIF
0.748825511,
0.492082739,HSPC054
0.98181247,PRKX
0.716509862,
0.148391843,FLJ14502
0.669960512,
0.05613314,AGTRL2
0.639172941,GGT1
0.204294263,
0.061315042,
0.895171804,KIAA0853
0.059576466,SAA1
0.015730661,BRI3BP
0.942395451,
0.295559507,DLG5
0.116932145,P2Y5
0.522957312,
0.283028512,ALLC
0.204563625,FLJ11506
0.01191395,LOC51702
0.205116624,PHB
0.062817307,KIAA1468
0.337972093,DMAP1
0.443596266,
0.773860185,
0.31927543,DNAI2
0.37379254,NOLA3
0.270020379,GALR2
0.414103103,SGCB
0.096886675,FLJ10916
0.480616261,FLJ14356
0.338290148,
0.719760312,PPAN
0.222210784,FLJ10385
0.176626796,OSBPL5
0.761004146,KRTHA5
0.538569463,UBQLN2
0.358958156,PIGB
0.037627306,KIAA1074
0.595789802,IL25
0.037908319,KRT13
0.796954219,SPTBN4
0.192662741,
0.880885288,
0.175635065,
0.006956163,
0.407159761,
0.963576061,LOC51580
0.308776661,HSA272196
0.129670983,
0.269807162,TRAP-1
0.097916503,PRO1489
0.293711344,
0.04971225,PAFAH1B1
0.014951953,LOC51633
0.749390429,NTT5
0.632650818,PCOLN3
0.553246992,UBE1C
0.253293962,RAMP
0.226241981,
0.693292782,MGB2
0.103678846,TED
0.216239388,HSPA8
0.193132799,KIAA0586
0.381285927,GPR7
0.663582583,
0.017342271,FLJ13710
0.1020807,FLJ10244
0.885460764,ARFD1
0.358551183,
0.389346269,KIAA0553
0.128143403,PON3
0.279133608,CA5B
0.956384038,MAP2K1IP1
0.881140746,TIMELESS
0.04839427,KIF9
0.884449874,KIAA1538
