"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.PVL","log2fold_change","Auc"
"336","EFEMP2","hurdle",6.13938798505259e-18,-2.283395,-1.243842,1.039553,0.589
"43","AK1","hurdle",1.45949918852883e-18,-1.7726308,-0.8949121,0.8777187,0.589
"640","MAP1LC3A","hurdle",1.35971929847282e-18,-1.4064646,-0.5817039,0.8247607,0.588
"622","LRRC32","hurdle",5.77065633187069e-14,-2.484978,-1.384842,1.100136,0.588
"513","HSPB2","hurdle",5.8740465718731e-36,-3.266786,-1.816365,1.450421,0.588
"334","EDNRB","hurdle",3.24659981757e-21,-2.869175,-1.567647,1.301528,0.588
"1074","ST5","hurdle",4.5226454483151e-17,-2.565675,-1.392675,1.173,0.587
"338","EGFL6","hurdle",2.60602799997606e-39,-3.207839,-1.489503,1.718336,0.587
"316","DMD","hurdle",1.16636875707945e-26,-2.955039,-1.53731,1.417729,0.587
"258","COPS6","hurdle",3.99468915534481e-11,-1.0319224,-0.4726541,0.5592683,0.587
"141","C1QTNF2","hurdle",3.18809302685885e-35,-3.203961,-1.653997,1.549964,0.587
"901","RAD23A","hurdle",4.14461040659017e-12,-0.7857856,-0.2759499,0.5098357,0.586
"854","PNMA1","hurdle",4.1058885360038e-21,-2.447116,-1.285296,1.16182,0.586
"626","LURAP1L","hurdle",2.19084998937944e-18,-2.167022,-1.155245,1.011777,0.586
"1203","WTIP","hurdle",7.87172306919765e-27,-3.095848,-1.708274,1.387574,0.585
"1195","WASF2","hurdle",3.77946358812548e-10,-0.8522305,-0.3187808,0.5334497,0.585
"1146","TNFRSF1A","hurdle",1.14132441963066e-11,-1.1634076,-0.5278491,0.6355585,0.585
"972","SARS","hurdle",2.92472977107983e-14,-1.5228639,-0.8124067,0.7104572,0.585
"510","HSDL2","hurdle",2.47444545102136e-23,-2.100384,-1.07688,1.023504,0.585
"425","FRMD3","hurdle",3.61850406585436e-27,-2.976022,-1.541514,1.434508,0.585
"1161","TRPC6","hurdle",7.95779108585292e-26,-3.262795,-1.83315,1.429645,0.584
"970","S1PR3","hurdle",7.68988250548253e-26,-2.895362,-1.547599,1.347763,0.584
"942","RNF152","hurdle",4.99512429178077e-23,-2.918218,-1.621559,1.296659,0.584
"786","PAWR","hurdle",1.28750200508878e-20,-2.118979,-1.118606,1.000373,0.584
"657","MEIS2","hurdle",1.71092096947737e-16,-2.728449,-1.540435,1.188014,0.584
"633","MAFB","hurdle",8.12830170173508e-13,-1.2297672,-0.5591756,0.6705916,0.584
"567","KCNA5","hurdle",7.9377388218381e-39,-3.30682,-1.825244,1.481576,0.584
"266","CRIM1","hurdle",1.32728559492736e-21,-1.9299356,-0.9267704,1.0031652,0.584
"196","CCL8","hurdle",1.17286772047193e-35,-3.072441,-1.260557,1.811884,0.584
"87","ARID5A","hurdle",1.89946430031618e-10,-1.51955,-0.817481,0.702069,0.584
"1210","ZBTB16","hurdle",2.5038202100572e-13,-2.213664,-1.277713,0.935951,0.583
"1045","SNRK","hurdle",7.08178911189877e-14,-2.072154,-1.214096,0.858058,0.583
"1041","SNAI2","hurdle",3.62485281071323e-21,-2.868486,-1.585696,1.28279,0.583
"926","REM1","hurdle",9.23365754162977e-37,-3.255939,-1.741732,1.514207,0.583
"516","HSPB8","hurdle",2.54898830559952e-19,-2.265344,-1.247184,1.01816,0.583
"353","ENDOD1","hurdle",4.3344865351836e-19,-2.402869,-1.364917,1.037952,0.583
"213","CDKN2C","hurdle",6.81489096110704e-19,-2.781857,-1.617152,1.164705,0.583
"170","CAP2","hurdle",7.88893174715259e-28,-2.644663,-1.380516,1.264147,0.583
"137","C1orf123","hurdle",2.63371293121197e-13,-1.744703,-0.9446729,0.8000301,0.583
"133","C12orf75","hurdle",5.50412955527766e-31,-1.8386402,-0.5604047,1.2782355,0.583
"1208","YWHAH","hurdle",1.70829685221326e-10,-0.9655363,-0.4348505,0.5306858,0.582
"965","RUNX1T1","hurdle",4.57751267165703e-14,-2.649245,-1.528104,1.121141,0.582
"838","PLEKHA4","hurdle",2.72239584864513e-19,-2.800886,-1.626524,1.174362,0.582
"742","NMD3","hurdle",5.93636282579312e-16,-2.026871,-1.132274,0.894597,0.582
"710","MYO1C","hurdle",8.49004038437898e-16,-1.65556,-0.8698343,0.7857257,0.582
"584","KLHDC8B","hurdle",3.29817996095234e-23,-2.656371,-1.448848,1.207523,0.582
"324","DTX3","hurdle",2.96092147755849e-20,-2.585202,-1.392607,1.192595,0.582
"85","ARHGEF7","hurdle",1.07482429305798e-15,-2.383372,-1.297166,1.086206,0.582
"26","ADD1","hurdle",6.19222470872901e-12,-1.768555,-1.010462,0.758093,0.582
"1131","TMEM173","hurdle",4.92408715516319e-11,-1.6152752,-0.9258698,0.6894054,0.581
"1129","TMEM109","hurdle",2.75945989151423e-13,-1.317277,-0.6578029,0.6594741,0.581
"1032","SMARCB1","hurdle",1.99501543083515e-16,-1.6710203,-0.8724282,0.7985921,0.581
"867","PRELP","hurdle",4.67378907805199e-20,-2.584438,-1.412581,1.171857,0.581
